match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
2647,1.28,1,0.9672382965087891,0.7556549191474915,0.28463194370269773,2018-12-29,Kokkinakis T.,Polansky P.
2811,1.64,1,0.9669631174206733,0.5896116569638252,0.17036819458007812,2019-01-09,Sandgren T.,Cecchinato M.
2692,1.35,1,0.9639711141586306,0.714052677154541,0.11574350893497468,2019-01-01,Paire B.,Monteiro T.
2695,2.26,0,0.9609927052259446,0.3113348037004471,0.5859711617231369,2019-01-01,Ivashka I.,Hurkacz H.
2776,1.72,1,0.959847949028015,0.5580511331558228,0.1807834506034851,2019-01-06,Opelka R.,Daniel T.
2819,1.15,1,0.9554215729236603,0.8308013677597046,0.11641121059656143,2019-01-09,Tsitsipas S.,Andreozzi G.
2668,2.03,0,0.9516264724731444,0.18947279949982962,0.5406968593597412,2018-12-30,Garcia-Lopez G.,Baghdatis M.
2805,2.08,0,0.9509032281239826,0.21116062253713608,0.5402859250704447,2019-01-08,Garcia-Lopez G.,Kudla D.
2655,1.01,1,0.9489529111385344,0.9395573377609253,0.026644203066825866,2018-12-29,Lorenzi P.,Al-Mutawa J.
2661,1.5,1,0.9471324563026429,0.6314216375350952,0.1820440724492073,2018-12-30,Auger-Aliassime F.,Quinzi G.
2779,1.64,1,0.9419122126698494,0.5743367150425911,0.3123268149793148,2019-01-06,Thompson J.,Mannarino A.
2801,2.46,0,0.9319568350911142,0.21219935920089483,0.597408227622509,2019-01-08,Seppi A.,Chardy J.
2704,1.02,1,0.9312444598674773,0.9129847645759582,0.08730823919177055,2019-01-01,Garcia-Lopez G.,Shannan Zayid M.
2665,1.43,1,0.9263336353302002,0.647785758972168,0.21211813166737556,2018-12-30,Humbert U.,Eubanks C.
2687,1.45,1,0.922712067514658,0.636353150010109,0.16156529961153865,2018-12-31,Basilashvili N.,Ramos-Vinolas A.
2684,2.54,0,0.9130151430765788,0.305180420478185,0.5890420277913412,2018-12-31,Berdych T.,Kohlschreiber P.
2693,2.18,0,0.9087170584996541,0.2931527992089589,0.5377024014790853,2019-01-01,Karlovic I.,Auger-Aliassime F.
2656,1.39,1,0.8971782492101192,0.6454519778490067,0.5155151411890984,2018-12-29,Garcia-Lopez G.,Ward J.
2781,1.61,1,0.8871443341970444,0.5510213255882264,0.19991006404161454,2019-01-06,Nishikori K.,Medvedev D.
2701,1.21,1,0.8828966757059098,0.7296666741371155,0.1558369591832161,2019-01-01,de Minaur A.,Popyrin A.
2703,1.72,1,0.8810031291842461,0.5122111216187477,0.38049227744340897,2019-01-01,Lajovic D.,Mannarino A.
2828,1.3,1,0.8678715713322163,0.6675935164093971,0.2924058996140957,2019-01-10,de Minaur A.,Thompson J.
2759,1.34,1,0.8610435615777969,0.6425698220729827,0.05846398994326592,2019-01-05,Garin C.,Sousa P.
2765,1.67,1,0.8481713992357254,0.507887065410614,0.37933820858597755,2019-01-05,Medvedev D.,Tsonga J.W.
